suite,strategy,panel,seed,net_pct,sharpe,mdd_pct,turnover,cost_pct,n_days
40isl,beta_neutral,set3,44,32.24475667607636,0.32661196954458366,25.352742270275787,0.14015853952943821,6.1163587562543285,1250
40isl,long_only,set3,44,96.8591442249465,0.7476582946506182,45.57823304084657,0.054511622399953656,2.967956067501292,1250
40isl,sleeves_reg,set3,45,25.13504950411678,0.38108227816192275,18.056238124927845,0.12247581021722748,5.6843016247610585,1250
40isl,sleeves_h5,set3,45,43.37651533588278,0.6124143973980496,16.29650332544135,0.22678133298305986,10.44525813078234,1250
40isl,rank_weight,set3,45,25.855144583862984,0.3431618913582403,20.97075468405268,0.13600357387009843,6.548811566612086,1250
40isl,banded15,set3,45,57.38868263875473,0.6401921926995484,23.530940952675806,0.2514654427039064,12.786366606342273,1250
40isl,banded25,set3,45,46.330646697806884,0.558689574474886,26.04608390348499,0.10231536671029433,5.159483226652521,1250
40isl,beta_neutral,set3,45,2.964053318378189,0.03108294219001726,29.04755221907722,0.153590736531999,6.639732808662529,1250
40isl,long_only,set3,45,95.15091651160753,0.7519455474850331,45.489606539201674,0.060373140750808095,3.421812694618794,1250
40isl,sleeves_reg,set3,46,38.45205664979316,0.5221491655214996,18.712669715325962,0.0993270537612685,4.580176309307192,1250
40isl,sleeves_h5,set3,46,55.97511814824478,0.7194251752542405,21.352901461823947,0.1747087317018886,8.198469843352973,1250
40isl,rank_weight,set3,46,46.25575790641475,0.545945559972331,23.125875351798328,0.11500149456286904,5.415405754036626,1250
40isl,banded15,set3,46,80.69862196594917,0.9380631755177861,15.802579525218121,0.0844731499042416,4.181028038045441,1250
40isl,banded25,set3,46,116.06701952470684,1.2650684222378417,11.90948000837007,0.029502216233600487,1.5230462668158922,1250
40isl,beta_neutral,set3,46,27.906436954998487,0.248166694101124,29.03019985486494,0.13338028642981056,5.732651440972784,1250
40isl,long_only,set3,46,97.4143080870372,0.7465124036116286,45.27356851492328,0.04967861927514041,2.6733486397764574,1250
40isl,sleeves_reg,set3,47,39.68438083943683,0.501140228593793,22.779486239108433,0.11336537336784519,5.239509817773141,1250
40isl,sleeves_h5,set3,47,60.920876732955556,0.7259835059006704,22.757364264140335,0.1945173784577756,9.007307180498097,1250
40isl,rank_weight,set3,47,36.680107383993516,0.4004089280877994,23.993198528969256,0.12726760817444552,5.990639284620815,1250
40isl,banded15,set3,47,35.800169658588906,0.3753076806329391,30.73887526632323,0.15408340985137184,7.564633111820845,1250
40isl,banded25,set3,47,73.64970081217777,0.8086908827929421,21.21421935416856,0.07113731390661278,3.5200816482952644,1250
40isl,beta_neutral,set3,47,40.93867699211589,0.3435533342007479,28.35573798796786,0.15015054092099728,6.483329201064397,1250
40isl,long_only,set3,47,99.25263011831768,0.7277558623618448,51.538404789102266,0.05652961696161113,3.0305376239990136,1250
40isl,sleeves_reg,set3,48,28.377124219518834,0.3513892694925369,21.112383710531667,0.11307899596308378,5.204632468217511,1250
40isl,sleeves_h5,set3,48,35.153412718553064,0.39976134656225976,25.934639971538076,0.1909146020529086,8.80033312747168,1250
40isl,rank_weight,set3,48,34.95841488668185,0.38186235724566725,25.42738003423679,0.12746078353648815,6.02304303524898,1250
40isl,banded15,set3,48,41.6440112101467,0.4244286556154011,27.288201376729475,0.12379824500739237,5.972881630218586,1250
40isl,banded25,set3,48,69.15518080938263,0.7558037061848467,17.845994188766163,0.05964585935093448,2.9573556316481717,1250
40isl,beta_neutral,set3,48,30.020260468493436,0.25746256877137824,33.333683996700074,0.14465035814442853,6.286733699728876,1250
40isl,long_only,set3,48,92.80007670180801,0.6934577882858665,48.81752881900076,0.05684708215204089,3.016455930413954,1250
40isl,sleeves_reg,set3,49,42.32384232531393,0.5933295079988438,26.113698441299487,0.1074062034107971,5.029230866497541,1250
40isl,sleeves_h5,set3,49,61.65024539450589,0.7905206021905022,29.376943137136273,0.20007955277896655,9.330109003826166,1250
40isl,rank_weight,set3,49,45.89021891960828,0.5541935587964076,28.372233247257878,0.12246794977798384,5.946033850384251,1250
40isl,banded15,set3,49,70.73403478069426,0.7939800571233236,26.70215871692386,0.1513014412825886,7.878076899931106,1250
40isl,banded25,set3,49,71.88380186844083,0.8168158440117786,22.70279718473247,0.05983103478885607,3.2178185397697625,1250
40isl,beta_neutral,set3,49,55.415999571320604,0.523475647979217,23.329091370501594,0.13740508458357756,5.941837959921736,1250
40isl,long_only,set3,49,101.16171174930496,0.7748229142745358,50.940756871947166,0.05278363616870904,2.997871946658934,1250
40isl,sleeves_reg,set3,50,35.38765187639993,0.47875510349884004,23.50770049489747,0.11328358369990257,5.184624419427892,1250
40isl,sleeves_h5,set3,50,44.324097883078764,0.5421660024833961,29.31588636400912,0.20410369297629682,9.375879316214805,1250
40isl,rank_weight,set3,50,36.819662438849114,0.4316350838679046,27.27443056134371,0.12755095332958094,5.942456678986327,1250
40isl,banded15,set3,50,54.75731554476755,0.6007624453495491,22.30233327136036,0.1813894621583293,8.723640251895088,1250
40isl,banded25,set3,50,105.03028281980342,1.1763477980868629,15.287486941175175,0.07113804002519757,3.4374405570561692,1250
40isl,beta_neutral,set3,50,28.118723556046227,0.2570259380855076,25.64343951993497,0.1478492852841307,6.347384538340065,1250
40isl,long_only,set3,50,102.68498595159731,0.7797072423581942,51.05630167635085,0.05476663779569003,2.864574121346347,1250
40isl,sleeves_reg,set3,51,24.87335578932363,0.3247948575599966,23.368390729400144,0.11214708688628038,5.146135906689467,1250
40isl,sleeves_h5,set3,51,49.64523213280891,0.5984429000247918,25.173918300612087,0.19645276124528302,8.983729464892294,1250
