arm,panel,seed,year,n_days,net_pct,sharpe
periodic_lstm_quarterly,set2_core7,42,2022,251,8.021959448215238,0.798643197765494
periodic_lstm_quarterly,set2_core7,42,2023,250,12.400430239093849,1.3705546672536668
periodic_lstm_quarterly,set2_core7,42,2024,252,20.657659440789022,3.092871148281215
periodic_lstm_quarterly,set2_core7,43,2020,253,13.411560184812648,0.6488324059500078
periodic_lstm_quarterly,set2_core7,43,2021,252,20.53351686620875,2.6720187464650915
periodic_lstm_quarterly,set2_core7,43,2022,251,7.289894715836644,0.8135062688862157
periodic_lstm_quarterly,set2_core7,43,2023,250,13.70038676855968,1.616858726706904
periodic_lstm_quarterly,set2_core7,43,2024,252,19.508950217294842,2.4645390900077855
periodic_lstm_quarterly,set2_core7,44,2020,253,0.6991649044977886,0.04036112550922449
periodic_lstm_quarterly,set2_core7,44,2021,252,6.4553015601744255,0.8327791203550271
periodic_lstm_quarterly,set2_core7,44,2022,251,16.456300041713266,1.8302427000485222
periodic_lstm_quarterly,set2_core7,44,2023,250,22.202051963067916,2.1529109556656434
periodic_lstm_quarterly,set2_core7,44,2024,252,19.45213311272706,2.592918834140997
periodic_lstm_quarterly,set3_core7,42,2020,253,7.763729827322441,0.3761556723579653
periodic_lstm_quarterly,set3_core7,42,2021,252,-5.685046792257286,-0.41038185976022673
periodic_lstm_quarterly,set3_core7,42,2022,251,2.482955692457209,0.17619495728558107
periodic_lstm_quarterly,set3_core7,42,2023,250,5.164380421515458,0.5499890162964173
periodic_lstm_quarterly,set3_core7,42,2024,252,-9.449581349312329,-0.8351017604916917
periodic_lstm_quarterly,set3_core7,43,2020,253,12.952477202367485,0.7062490562952403
periodic_lstm_quarterly,set3_core7,43,2021,252,4.369187575313848,0.3819804937511953
periodic_lstm_quarterly,set3_core7,43,2022,251,7.4192041684757335,0.4655140366734444
periodic_lstm_quarterly,set3_core7,43,2023,250,8.961927655432456,0.890168386395132
periodic_lstm_quarterly,set3_core7,43,2024,252,2.9888021042693342,0.27964961336713295
periodic_lstm_quarterly,set3_core7,44,2020,253,13.613363944360055,0.6180609160011507
periodic_lstm_quarterly,set3_core7,44,2021,252,-2.519162933356039,-0.22480694802011741
periodic_lstm_quarterly,set3_core7,44,2022,251,0.4853404457340754,0.033743866779415155
periodic_lstm_quarterly,set3_core7,44,2023,250,23.11824834123809,2.3131268038406008
periodic_lstm_quarterly,set3_core7,44,2024,252,5.701787135746415,0.6376817570788181
periodic_lstm_quarterly,set4_core7,42,2020,252,8.857574975170293,0.4967213786957924
periodic_lstm_quarterly,set4_core7,42,2021,252,17.932349398456925,2.2572948848291614
periodic_lstm_quarterly,set4_core7,42,2022,251,2.139294628940072,0.19688803163787078
periodic_lstm_quarterly,set4_core7,42,2023,250,7.928731246465258,0.9006349697185025
periodic_lstm_quarterly,set4_core7,42,2024,252,11.558662606358974,1.7389852129325583
periodic_lstm_quarterly,set4_core7,43,2020,252,17.18689880413864,1.0566034098173465
periodic_lstm_quarterly,set4_core7,43,2021,252,12.178086557463406,1.675068714280385
periodic_lstm_quarterly,set4_core7,43,2022,251,0.16452224964376289,0.01435581824571399
periodic_lstm_quarterly,set4_core7,43,2023,250,3.8694645621511508,0.5078782356922349
periodic_lstm_quarterly,set4_core7,43,2024,252,-1.9622374398270734,-0.2827000852190296
periodic_lstm_quarterly,set4_core7,44,2020,252,13.749731488282974,0.7986287728878704
periodic_lstm_quarterly,set4_core7,44,2021,252,14.490981025464794,1.728416340631473
periodic_lstm_quarterly,set4_core7,44,2022,251,-2.494558484377205,-0.2422156290357391
periodic_lstm_quarterly,set4_core7,44,2023,250,12.668378125869046,1.700874106268577
periodic_lstm_quarterly,set4_core7,44,2024,252,4.5214762432954565,0.6534939212384256
periodic_lstm_yearly,set1_core7,42,2020,253,-8.384213972508793,-0.4500060383438911
periodic_lstm_yearly,set1_core7,42,2021,252,14.141978259335227,1.1898376124008336
periodic_lstm_yearly,set1_core7,42,2022,251,10.251876704265428,0.6291513871673369
periodic_lstm_yearly,set1_core7,42,2023,250,4.725299641070246,0.47584671188796834
periodic_lstm_yearly,set1_core7,42,2024,252,10.938527268962721,1.1068966159123594
periodic_lstm_yearly,set1_core7,43,2020,253,-0.7841991365036924,-0.03357103567921823
periodic_lstm_yearly,set1_core7,43,2021,252,1.2307628899369178,0.12775657569923138
periodic_lstm_yearly,set1_core7,43,2022,251,3.953692824592042,0.36280064106211485
